epoch,model,train_loss,val_loss,val_f0_r2,val_duration_r2,val_energy_r2
1,KAN,6.937457263469696,5.904606342315674,-8.56537702662092,-11.387931517114339,-0.08639136097721645
2,KAN,6.9199758768081665,5.813108921051025,-8.561445298296482,-11.12052267785978,-0.07615681433376853
3,KAN,6.735673248767853,5.724406719207764,-8.557572875488741,-10.86106653504661,-0.06672773038847968
4,KAN,6.651726424694061,5.639445781707764,-8.553787259727935,-10.612252570625005,-0.05837733838435222
5,KAN,6.550746738910675,5.559066295623779,-8.550105652200305,-10.376444403763204,-0.05139416568114297
6,KAN,6.4937824010849,5.4843878746032715,-8.546664731055293,-10.157142600158167,-0.04537111606183597
7,KAN,6.413597583770752,5.415493011474609,-8.543426306765571,-9.954581804143034,-0.04036296775751569
8,KAN,6.296911239624023,5.353089809417725,-8.540450907512053,-9.770917363359825,-0.036248615261114114
9,KAN,6.190881371498108,5.297453880310059,-8.537782907420675,-9.60709548077043,-0.032742982411012145
10,KAN,6.157468199729919,5.2485175132751465,-8.53542822398598,-9.462874333379519,-0.029923824272491517
11,KAN,6.122368097305298,5.206655025482178,-8.533357495971082,-9.33944338875559,-0.0276790174924324
12,KAN,6.0559176206588745,5.171555042266846,-8.531606957647453,-9.235839165426473,-0.026040151453726512
13,KAN,6.02539736032486,5.143045902252197,-8.530184798177535,-9.151690486449494,-0.024705907671672245
14,KAN,6.043126225471497,5.120579242706299,-8.529053959857496,-9.085356898088598,-0.023701785761476968
15,KAN,6.022622883319855,5.103692531585693,-8.528205657293155,-9.03548663712962,-0.02297071796986061
16,KAN,5.932725787162781,5.091720104217529,-8.5276011853748,-9.000121077559925,-0.022473480078386343
17,KAN,5.882358729839325,5.083951950073242,-8.527209733896585,-8.977176451192811,-0.022144047785388254
18,KAN,5.883136332035065,5.07951545715332,-8.526984886930398,-8.96408057899247,-0.02194261808912845
19,KAN,5.927034258842468,5.077524662017822,-8.526883527278954,-8.95820175994827,-0.02185593877843428
20,KAN,6.021003007888794,5.077024459838867,-8.526858123830582,-8.956724009724663,-0.02183561545431134
1,MLP,6.917332768440247,5.71371603012085,-8.563937653224805,-10.834941473026245,-0.048469463864821094
2,MLP,6.577402293682098,5.4858574867248535,-8.555970138195017,-10.163511631423322,-0.032144484540496565
3,MLP,6.2833574414253235,5.153286457061768,-8.543765876467775,-9.177644717848315,-0.020658575550471348
4,MLP,5.82637631893158,4.742794990539551,-8.527323431505078,-7.955979108681884,-0.017484419385677574
5,MLP,5.237576901912689,4.29008674621582,-8.506595672215818,-6.6087223838197025,-0.01647501637669002
6,MLP,4.724004328250885,3.8325583934783936,-8.481697184078017,-5.249408560289099,-0.014832477277245237
7,MLP,4.19674688577652,3.4061739444732666,-8.452899488676152,-3.985566578386724,-0.013009545341720274
8,MLP,3.7497977018356323,3.0388238430023193,-8.420545689151897,-2.9004563797225345,-0.011479752601456727
9,MLP,3.3170787394046783,2.746065378189087,-8.385197162392098,-2.040432789587414,-0.010327865888918764
10,MLP,2.987651824951172,2.5313854217529297,-8.347623551883808,-1.4158376711648422,-0.009011860220625723
11,MLP,2.804822623729706,2.387594699859619,-8.308048715387036,-1.0049335375531498,-0.007650263762673637
12,MLP,2.6903953850269318,2.3012540340423584,-8.268744012674638,-0.7663121226577723,-0.006154095268144255
13,MLP,2.612906903028488,2.2568178176879883,-8.23195274364267,-0.652181001602216,-0.004590260850561467
14,MLP,2.5635940730571747,2.235036849975586,-8.199662655484236,-0.603773420794008,-0.003009890898238776
15,MLP,2.5551641285419464,2.2226779460906982,-8.17527384861579,-0.5794163928035856,-0.0019576093048312426
16,MLP,2.5359824001789093,2.214869737625122,-8.158413173930912,-0.5647618435407189,-0.0012791681158217383
17,MLP,2.514108568429947,2.2102773189544678,-8.148034472821712,-0.5564109821179635,-0.0008058713917984406
18,MLP,2.518962651491165,2.2076854705810547,-8.142276867171093,-0.5516360958713451,-0.0005614591013543002
19,MLP,2.5188568234443665,2.206573009490967,-8.139765459167311,-0.5496056784216437,-0.0004597824148611096
20,MLP,2.532968044281006,2.206296682357788,-8.139166128286012,-0.5490877230687505,-0.00043596471159146333
