model,utterance_id,n_phonemes,f0_rmse,f0_mae,f0_r2,f0_corr,f0_bias,f0_var_ratio,duration_rmse,duration_mae,duration_r2,duration_corr,duration_bias,duration_var_ratio,energy_rmse,energy_mae,energy_r2,energy_corr,energy_bias,energy_var_ratio
KAN,ch02_sent_012_features,200,150.0019,143.58441,-10.880033,-0.2025468545777508,-143.54791,5.882658e-07,2.5100267,2.427932,-10.802696,-0.1428769943313973,2.399868,0.0016482022,1.6246649,1.2112143,-0.02957964,0.11202744065539409,0.2907056,0.00026535074
KAN,ch02_sent_070_features,86,144.14104,135.0247,-7.116955,-0.40005051804759806,-134.96669,2.2534411e-07,2.3192112,2.2054267,-6.511719,-0.008450650966117012,2.1591077,0.0008358399,1.5956186,1.0850316,-0.020514727,-0.008710642699244346,0.22296542,0.0002907246
KAN,ch02_sent_014_features,221,144.7553,137.95326,-9.839717,0.028768076578322532,-137.91698,6.024275e-07,2.4454026,2.3591208,-9.892509,0.06084638630139536,2.3308554,0.0020095133,1.435233,1.0603025,-0.014154196,0.0060541882012495,0.16857582,0.0004075037
KAN,ch02_sent_018_features,70,141.74077,137.47523,-15.83333,-0.12589054899918223,-137.46553,3.483162e-07,2.5216804,2.4755461,-22.627779,0.1248689758363272,2.468285,0.0024961198,1.5908787,1.0004951,0.0043210387,0.1621512066661223,0.03913348,0.00025499164
KAN,ch02_sent_029_features,64,135.1501,131.1564,-16.083122,-0.06878983999800103,-131.13437,5.396329e-07,2.4470704,2.375941,-13.104121,0.18094343363938814,2.3598952,0.0016357009,1.6403384,1.0465207,-0.02503395,0.06268416619695137,0.26573026,0.00029797698
KAN,ch02_sent_032_features,51,144.22078,140.57742,-19.047241,-0.05128484517498153,-140.57742,6.728569e-07,2.5605175,2.5185757,-29.635094,0.06822249896884718,2.5185757,0.0057148407,1.8825943,1.2271504,-0.08094871,-0.1432685106270375,0.50356627,0.00014602134
KAN,ch02_sent_036_features,46,148.07335,144.4227,-19.540686,-0.29134865512890995,-144.4227,3.55183e-07,2.5203304,2.4622347,-21.211945,-0.11602211137759827,2.4622347,0.0019530898,1.8730335,1.2131922,0.0016807914,0.08789266196160844,-0.02256759,0.00012284993
KAN,ch02_sent_004_features,96,132.96393,129.3231,-17.436222,0.04021742836615039,-129.3079,1.0529062e-06,2.5686114,2.5054882,-16.440094,-0.03354124528532627,2.493385,0.0029337797,1.4563297,0.9349821,0.0022123456,0.09792313925088839,0.04429428,0.00030939165
KAN,ch02_sent_015_features,62,137.53262,131.37993,-10.372296,-0.13325268471259102,-131.34541,5.2439736e-07,2.3542254,2.2406983,-7.624156,0.2540132318974361,2.215793,0.0010761912,1.6001168,0.9575187,-0.0051454306,-0.03643664049196426,-0.09720183,0.00026041866
MLP,ch02_sent_012_features,200,147.00703,140.82176,-10.410384,-0.23556702358248,-140.3536,0.0003735666,1.0808203,0.7827661,-1.1884241,-0.41310367001036125,0.19819675,0.51939476,1.5985858,1.2544326,0.0032086372,0.09930967193452356,0.08885464,0.0015622957
MLP,ch02_sent_070_features,86,141.2832,132.44635,-6.7982807,-0.23923366549295536,-131.85703,0.00014297345,0.97277707,0.6945113,-0.3215555,-0.14227682165283842,0.0159152,0.19541323,1.568041,1.1186187,0.014456272,0.21388856275348295,0.024129134,0.0014178263
MLP,ch02_sent_014_features,221,141.68317,135.08441,-9.384499,0.007274218659863693,-134.68799,0.000370735,0.9455959,0.7089754,-0.62869,-0.06248191532747549,0.106281646,0.51816124,1.4243871,1.1014538,0.0011156201,0.0429427163520837,-0.038391232,0.0019882433
MLP,ch02_sent_018_features,70,138.95131,134.68123,-15.177286,-0.010204174615187004,-134.58514,0.0003168698,0.8245881,0.6850167,-1.5264862,-0.10822214256631922,0.4643346,0.56295407,1.5956266,1.0794481,-0.0016310215,0.1315021044440081,-0.15705666,0.0012590984
MLP,ch02_sent_029_features,64,132.21901,128.33965,-15.35017,-0.03433452651682626,-128.10466,0.00038313397,0.8459594,0.6551745,-0.68559086,-0.0954935146599689,0.26948738,0.39457008,1.6155822,1.0760806,0.0056726336,0.12179006232725127,0.074185684,0.0014246394
MLP,ch02_sent_032_features,51,141.29982,137.57385,-18.243414,-0.026999547818973676,-137.57385,0.00040398442,0.8215905,0.68119687,-2.154093,-0.24933087099286436,0.44470894,0.787486,1.8376703,1.2336951,-0.029975176,0.0022756372489757875,0.30967376,0.0008602755
MLP,ch02_sent_036_features,46,145.27025,141.52734,-18.770355,-0.20129145616824526,-141.52734,0.00018402108,0.7622689,0.65241885,-1.0318329,-0.023427125771144242,0.45454183,0.28437805,1.8735145,1.2822422,0.0011680126,0.2304410904192319,-0.21143988,0.0010508967
MLP,ch02_sent_004_features,96,129.88873,126.31425,-16.593296,-0.005067031368857969,-126.13938,0.00075697905,0.90339684,0.7293002,-1.1572931,-0.07907294645768878,0.30392268,0.77399856,1.4645742,0.98826057,-0.009117126,0.06140557111798696,-0.16328621,0.0018364124
MLP,ch02_sent_015_features,62,134.59865,128.59804,-9.892264,-0.1998784533079686,-128.22285,0.0003198179,0.94742566,0.7235924,-0.39672458,-0.0598335460476885,0.072241694,0.320823,1.6152155,1.0476612,-0.024204016,0.12398721950298873,-0.28688553,0.0015010777
