model,target,metric,mean,std,se,median,q25,q75,min,max,n
KAN,f0,rmse,142.06442260742188,5.7725934982299805,1.924197832743327,144.1410369873047,137.53262329101562,144.7552947998047,132.96392822265625,150.0019073486328,9
KAN,f0,mae,136.76634216308594,5.482488632202148,1.8274962107340496,137.47523498535156,131.3799285888672,140.57742309570312,129.32310485839844,144.42269897460938,9
KAN,f0,r2,-14.016621589660645,4.5174407958984375,1.5058135986328125,-15.833330154418945,-17.436222076416016,-10.372296333312988,-19.540685653686523,-7.116954803466797,9
KAN,f0,corr,-0.13379760463272686,0.1450195773862192,0.04833985912873973,-0.12589054899918223,-0.2025468545777508,-0.05128484517498153,-0.40005051804759806,0.04021742836615039,9
KAN,f0,bias,-136.74276733398438,5.487648010253906,1.8292160034179688,-137.4655303955078,-140.57742309570312,-131.3454132080078,-144.42269897460938,-129.3079071044922,9
KAN,f0,var_ratio,5.454810434457613e-07,2.3896444645288284e-07,7.965481548429428e-08,5.396328788265237e-07,3.5518300478543097e-07,6.02427519424964e-07,2.2534410959451634e-07,1.0529062137720757e-06,9
KAN,duration,rmse,2.4718971252441406,0.08800794184207916,0.029335980614026386,2.510026693344116,2.4454026222229004,2.5216803550720215,2.31921124458313,2.5686113834381104,9
KAN,duration,mae,2.39677357673645,0.11232796311378479,0.0374426543712616,2.427932024002075,2.3591208457946777,2.47554612159729,2.2054266929626465,2.518575668334961,9
KAN,duration,r2,-15.316679000854492,7.793272018432617,2.597757339477539,-13.104121208190918,-21.211944580078125,-9.892509460449219,-29.635093688964844,-6.511719226837158,9
KAN,duration,corr,0.043111502742550566,0.13207766693802814,0.04402588897934271,0.06084638630139536,-0.03354124528532627,0.1248689758363272,-0.1428769943313973,0.2540132318974361,9
KAN,duration,bias,2.378666877746582,0.1252855360507965,0.0417618453502655,2.3998680114746094,2.330855369567871,2.468285083770752,2.1591076850891113,2.518575668334961,9
KAN,duration,var_ratio,0.0022559198550879955,0.0014489705208688974,0.0004829901736229658,0.0019530898425728083,0.0016357009299099445,0.002496119821444154,0.0008358398918062449,0.005714840721338987,9
KAN,energy,rmse,1.6332008838653564,0.15597012639045715,0.05199004213015238,1.6001168489456177,1.5908787250518799,1.64033842086792,1.4352329969406128,1.882594347000122,9
KAN,energy,mae,1.0818229913711548,0.11206458508968353,0.03735486169656118,1.060302495956421,1.0004950761795044,1.211214303970337,0.9349821209907532,1.2271504402160645,9
KAN,energy,r2,-0.018573608249425888,0.026513200253248215,0.008837733417749405,-0.014154195785522461,-0.025033950805664062,0.0016807913780212402,-0.08094871044158936,0.004321038722991943,9
KAN,energy,corr,0.037813001012663106,0.09299471973633645,0.03099823991211215,0.06268416619695137,-0.008710642699244346,0.09792313925088839,-0.1432685106270375,0.1621512066661223,9
KAN,energy,bias,0.15724462270736694,0.1863299161195755,0.0621099720398585,0.16857582330703735,0.03913348168134689,0.26573026180267334,-0.09720183163881302,0.5035662651062012,9
KAN,energy,var_ratio,0.00026169215561822057,8.544920274289325e-05,2.8483067580964416e-05,0.00026535073993727565,0.0002549916389398277,0.0002979769778903574,0.00012284993135835975,0.0004075037140864879,9
MLP,f0,rmse,139.1334686279297,5.802382469177246,1.9341274897257488,141.283203125,134.59864807128906,141.68316650390625,129.88873291015625,147.0070343017578,9
MLP,f0,mae,133.93186950683594,5.480345249176025,1.8267817497253418,134.6812286376953,128.59803771972656,137.5738525390625,126.31424713134766,141.52734375,9
MLP,f0,r2,-13.402215957641602,4.336002349853516,1.4453341166178386,-15.177286148071289,-16.59329605102539,-9.892264366149902,-18.770355224609375,-6.798280715942383,9
MLP,f0,corr,-0.10503351780129228,0.10954246123623611,0.03651415374541204,-0.03433452651682626,-0.20129145616824526,-0.010204174615187004,-0.23923366549295536,0.007274218659863693,9
MLP,f0,bias,-133.67242431640625,5.524533271789551,1.8415110905965169,-134.58514404296875,-137.5738525390625,-128.2228546142578,-141.52734375,-126.1393814086914,9
MLP,f0,var_ratio,0.0003613423614297062,0.0001738854480208829,5.7961816006960966e-05,0.00037073501152917743,0.00031686978763900697,0.0003831339708995074,0.00014297345478553325,0.0007569790468551219,9
MLP,duration,rmse,0.9004914164543152,0.09750338643789291,0.032501128812630974,0.9033968448638916,0.8245881199836731,0.9474256634712219,0.7622689008712769,1.0808203220367432,9
MLP,duration,mae,0.7014391422271729,0.040633611381053925,0.013544537127017975,0.6945112943649292,0.6811968684196472,0.7235924005508423,0.652418851852417,0.7827661037445068,9
MLP,duration,r2,-1.0100767612457275,0.5842104554176331,0.19473681847254434,-1.0318329334259033,-1.1884241104125977,-0.6286900043487549,-2.154093027114868,-0.321555495262146,9
MLP,duration,corr,-0.13702695038737212,0.12206156271342136,0.040687187571140454,-0.0954935146599689,-0.14227682165283842,-0.06248191532747549,-0.41310367001036125,-0.023427125771144242,9
MLP,duration,bias,0.2588478624820709,0.17248310148715973,0.057494367162386574,0.2694873809814453,0.10628164559602737,0.4447089433670044,0.015915200114250183,0.4643346071243286,9
MLP,duration,var_ratio,0.48413100838661194,0.20694564282894135,0.06898188094298045,0.5181612372398376,0.3208230137825012,0.5629540681838989,0.1954132318496704,0.7874860167503357,9
MLP,energy,rmse,1.6214662790298462,0.14910021424293518,0.04970007141431173,1.598585844039917,1.5680409669876099,1.6155822277069092,1.4243870973587036,1.8735145330429077,9
MLP,energy,mae,1.1313214302062988,0.1016581729054451,0.03388605763514837,1.1014537811279297,1.076080560684204,1.233695149421692,0.9882605671882629,1.2822421789169312,9
MLP,energy,r2,-0.004367351531982422,0.014372415840625763,0.004790805280208588,0.0011156201362609863,-0.00911712646484375,0.003208637237548828,-0.029975175857543945,0.01445627212524414,9
MLP,energy,corr,0.11417140401117032,0.0745957370238344,0.02486524567461147,0.12179006232725127,0.06140557111798696,0.1315021044440081,0.0022756372489757875,0.2304410904192319,9
MLP,energy,bias,-0.04002402722835541,0.18549750745296478,0.061832502484321594,-0.03839123249053955,-0.1632862091064453,0.07418568432331085,-0.286885529756546,0.3096737563610077,9
MLP,energy,var_ratio,0.0014334183651953936,0.00035301296156831086,0.00011767098718943696,0.0014246393693611026,0.0012590984115377069,0.001562295714393258,0.0008602755260653794,0.0019882433116436005,9
