model,target,utterance_id,phoneme_idx,predicted,actual,error,abs_error,squared_error
KAN,f0,ch02_sent_012_features,0,0.3207323,190.9179,-190.5971677,190.5971677,36327.28033526192
KAN,duration,ch02_sent_012_features,0,-0.23705193,-2.6592598,2.4222078700000003,2.4222078700000003,5.867090965489938
KAN,energy,ch02_sent_012_features,0,-0.1978274,-10.258963,10.0611356,10.0611356,101.22644956158736
KAN,f0,ch02_sent_012_features,1,0.31255972,191.40602,-191.09346028000002,191.09346028000002,36516.71056178394
KAN,duration,ch02_sent_012_features,1,-0.25420874,-3.5065575,3.25234876,3.25234876,10.577772456673536
KAN,energy,ch02_sent_012_features,1,-0.12544295,1.3609784,-1.48642135,1.48642135,2.2094484297358226
KAN,f0,ch02_sent_012_features,2,0.3305627,155.16972,-154.8391573,154.8391573,23975.16463337415
KAN,duration,ch02_sent_012_features,2,-0.27308577,-2.995732,2.7226462299999996,2.7226462299999996,7.412802493733211
KAN,energy,ch02_sent_012_features,2,-0.15886028,0.44919467,-0.60805495,0.60805495,0.3697308222195025
KAN,f0,ch02_sent_012_features,3,0.32704952,162.38893,-162.06188047999999,162.06188047999999,26264.0531047138
KAN,duration,ch02_sent_012_features,3,-0.27707997,-2.4079454,2.13086543,2.13086543,4.540587480769085
KAN,energy,ch02_sent_012_features,3,-0.12655829,0.6883975,-0.81495579,0.81495579,0.664152939654524
KAN,f0,ch02_sent_012_features,4,0.35408348,185.19292,-184.83883651999997,184.83883651999997,34165.395486067275
KAN,duration,ch02_sent_012_features,4,-0.27714652,-3.5065575,3.22941098,3.22941098,10.42909527774456
KAN,energy,ch02_sent_012_features,4,-0.16519397,0.15840372,-0.32359769,0.32359769,0.1047154649733361
KAN,f0,ch02_sent_012_features,5,0.32397562,142.98163,-142.65765438,142.65765438,20351.20635320353
KAN,duration,ch02_sent_012_features,5,-0.28596443,-3.2188756,2.93291117,2.93291117,8.601967931110769
KAN,energy,ch02_sent_012_features,5,-0.11998214,1.2141006,-1.3340827400000002,1.3340827400000002,1.779776757165908
KAN,f0,ch02_sent_012_features,6,0.32120904,137.14793,-136.82672096,136.82672096,18721.5515686657
KAN,duration,ch02_sent_012_features,6,-0.27828574,-3.5065575,3.22827176,3.22827176,10.421738556413498
KAN,energy,ch02_sent_012_features,6,-0.12834463,0.21781708,-0.34616170999999996,0.34616170999999996,0.11982792947012406
KAN,f0,ch02_sent_012_features,7,0.30534077,126.55281,-126.24746923,126.24746923,15938.423486979795
KAN,duration,ch02_sent_012_features,7,-0.2771091,-2.995732,2.7186228999999997,2.7186228999999997,7.390910472404409
KAN,energy,ch02_sent_012_features,7,-0.12951295,0.6830963,-0.81260925,0.81260925,0.6603337931855624
KAN,f0,ch02_sent_012_features,8,0.32295692,136.8322,-136.50924308,136.50924308,18634.77344627453
KAN,duration,ch02_sent_012_features,8,-0.2783383,-2.5257285,2.2473902,2.2473902,5.05076271105604
KAN,energy,ch02_sent_012_features,8,-0.15989093,-1.6269901,1.46709917,1.46709917,2.1523799746146888
KAN,f0,ch02_sent_012_features,9,0.2800794,135.57774,-135.2976606,135.2976606,18305.456963832792
KAN,duration,ch02_sent_012_features,9,-0.2728592,-2.995732,2.7228727999999998,2.7228727999999998,7.414036284979839
KAN,energy,ch02_sent_012_features,9,-0.11544804,1.1011438,-1.21659184,1.21659184,1.4800957051545856
KAN,f0,ch02_sent_012_features,10,0.2884888,135.59213,-135.3036412,135.3036412,18307.075321978333
KAN,duration,ch02_sent_012_features,10,-0.27273571,-3.2188756,2.94613989,2.94613989,8.679740251449212
