model,seed,target,r2,rmse,mae,correlation
KAN,42,f0,0.4013326168060303,0.76491379737854,0.4008982181549072,0.6615594195530236
KAN,42,duration,0.3330880403518677,0.8124911189079285,0.6184277534484863,0.5923239044887337
KAN,42,energy,0.14007186889648438,0.8876695036888123,0.6707330942153931,0.37625102939477617
KAN,43,f0,0.3983556628227234,0.7668132185935974,0.4017302691936493,0.6593980610822814
KAN,43,duration,0.3336969017982483,0.8121201395988464,0.6182785630226135,0.5928440779008717
KAN,43,energy,0.1403789520263672,0.8875110149383545,0.6705935001373291,0.37669568169881834
KAN,44,f0,0.40217918157577515,0.764372706413269,0.4006566107273102,0.6618986917135858
KAN,44,duration,0.33325856924057007,0.812387228012085,0.6183247566223145,0.5925586194672248
KAN,44,energy,0.14031708240509033,0.8875429630279541,0.6705362200737,0.3766093871788058
KAN,45,f0,0.40311044454574585,0.7637771964073181,0.4002627730369568,0.6631483273433963
KAN,45,duration,0.33342623710632324,0.8122851252555847,0.6183867454528809,0.5926076814977724
KAN,45,energy,0.14028573036193848,0.8875591158866882,0.6706277132034302,0.37652171569660015
KAN,46,f0,0.40052366256713867,0.7654304504394531,0.4011910855770111,0.6604849755132702
KAN,46,duration,0.3339983820915222,0.8119363784790039,0.6181309819221497,0.5932435063496664
KAN,46,energy,0.14047366380691528,0.8874621391296387,0.6705887317657471,0.3767920351859766
KAN,47,f0,0.40099936723709106,0.765126645565033,0.4012053310871124,0.6609175425564138
KAN,47,duration,0.33454179763793945,0.8116050958633423,0.617933452129364,0.5937084538398081
KAN,47,energy,0.1403074860572815,0.8875479698181152,0.6706730127334595,0.37658448729436395
MLP,42,f0,0.36820459365844727,0.7857925891876221,0.39379963278770447,0.6112913840295423
MLP,42,duration,0.2597990036010742,0.8559712767601013,0.6354823112487793,0.5139427124333708
MLP,42,energy,0.14678728580474854,0.8841966986656189,0.6681026220321655,0.38372413491490254
MLP,43,f0,0.35566872358322144,0.7935500144958496,0.39736688137054443,0.6030284883357058
MLP,43,duration,0.2953539490699768,0.8351603746414185,0.6230106949806213,0.5463620785283821
MLP,43,energy,0.14349615573883057,0.8859004378318787,0.6705963611602783,0.3791210800337295
MLP,44,f0,0.34674668312072754,0.7990252375602722,0.4004163146018982,0.595429889557529
MLP,44,duration,0.2554171085357666,0.858501136302948,0.634252667427063,0.5142436413394813
MLP,44,energy,0.1471344232559204,0.8840168118476868,0.669058084487915,0.38399820343222996
MLP,45,f0,0.28203511238098145,0.8376667499542236,0.4148302972316742,0.5500478235282701
MLP,45,duration,0.27670180797576904,0.8461416363716125,0.6297785043716431,0.5305459693728857
MLP,45,energy,0.14347678422927856,0.8859103918075562,0.6708213090896606,0.3791407578983429
MLP,46,f0,0.3051498532295227,0.8240721821784973,0.412542462348938,0.5641132291310151
MLP,46,duration,0.28609663248062134,0.840628445148468,0.6249793767929077,0.5401433247959494
MLP,46,energy,0.14427268505096436,0.8854987025260925,0.6711003184318542,0.38039151078717104
MLP,47,f0,0.2942160367965698,0.8305304646492004,0.415023535490036,0.5557875244886222
MLP,47,duration,0.29458087682724,0.8356183767318726,0.6252915263175964,0.5449172357535584
MLP,47,energy,0.14211726188659668,0.8866131901741028,0.6705570220947266,0.37725693418221007
